document_id,base_overall,new_overall,delta,base_nid,new_nid,base_teds,new_teds,base_mhs,new_mhs
01030000000188,0.7598029989,0.9334574587,0.1736544598,0.9354631562,0.9362898690,0.8991026150,0.8991026150,0.4448432256,0.9649798922
01030000000189,0.7608930605,0.8815674526,0.1206743921,0.9166306695,0.9167890780,0.7722229832,0.7722229832,0.5938255288,0.9556902966
01030000000190,0.8418034332,0.7514008409,-0.0904025923,0.9241605558,0.8958518081,0.6349298615,0.3999648383,0.9663198823,0.9583858764
01030000000191,0.9988060088,0.9988060088,0.0000000000,0.9982513661,0.9982513661,,,0.9993606515,0.9993606515
01030000000192,0.9392874109,0.9392874109,0.0000000000,0.9392874109,0.9392874109,,,,
01030000000193,0.9941200324,0.9941200324,0.0000000000,0.9941200324,0.9941200324,,,,
01030000000194,0.9985931345,0.9985931345,0.0000000000,0.9985931345,0.9985931345,,,,
01030000000195,0.9981914122,0.9981914122,0.0000000000,0.9975152473,0.9975152473,,,0.9988675770,0.9988675770
01030000000196,0.9993832486,0.9993832486,0.0000000000,0.9990229074,0.9990229074,,,0.9997435897,0.9997435897
01030000000197,0.9077477121,0.9077477121,0.0000000000,0.9580335731,0.9580335731,0.7894736842,0.7894736842,0.9757358791,0.9757358791
01030000000198,0.8946364732,0.8946364732,0.0000000000,0.8659217877,0.8659217877,,,0.9233511586,0.9233511586
01030000000199,0.4787901484,0.5361808613,0.0573907128,0.7161159811,0.7173252280,,,0.2414643158,0.3550364946
01030000000200,0.6237924659,0.6237924659,0.0000000000,0.7508699575,0.7508699575,0.4733821578,0.4733821578,0.6471252825,0.6471252825
